Year,Semester,Section,A,B,C,D,F,AtoF,GPA,I,S,U,Q,X,Total,Instructor
2021,Spring,AERO-201-500,7,21,20,3,0,51,2.627,0,0,0,2,0,53,SHRYOCK K
2021,Spring,AERO-211-500,15,18,8,1,3,45,2.911,0,0,0,4,0,49,DEMARS K
2021,Spring,AERO-212-200,7,11,10,1,0,29,2.827,0,0,0,1,0,30,BOYD J
2021,Spring,AERO-212-500,0,25,20,3,3,51,2.313,1,0,0,3,0,55,BOYD J
2021,Spring,AERO-212-502,15,33,18,4,2,72,2.763,0,0,0,9,0,81,ANDRIENKO D
2021,Spring,AERO-214-501,15,31,23,5,3,77,2.649,1,0,0,6,0,84,NARAGHI M
2021,Spring,AERO-214-502,22,47,11,2,0,82,3.085,0,0,0,4,0,86,TALREJA R
2021,Spring,AERO-222-200,18,4,0,0,0,22,3.818,0,0,0,0,0,22,TROPINA A
2021,Spring,AERO-222-500,12,7,3,0,1,23,3.26,0,0,0,0,0,23,TROPINA A
2021,Spring,AERO-222-501,11,8,1,0,1,21,3.333,0,0,0,0,0,21,TROPINA A
2021,Spring,AERO-222-502,14,5,3,0,0,22,3.5,0,0,0,1,0,23,TROPINA A
2021,Spring,AERO-222-503,8,12,2,1,0,23,3.173,0,0,0,0,0,23,TROPINA A
2021,Spring,AERO-222-504,11,5,5,1,0,22,3.181,0,0,0,0,0,22,TROPINA A
2021,Spring,AERO-222-506,8,7,1,0,1,17,3.235,0,0,0,2,0,19,TROPINA A
2021,Spring,AERO-301-500,9,17,7,1,4,38,2.684,0,0,0,5,0,43,LIMBACH C
2021,Spring,AERO-303-200,3,6,0,0,0,9,3.333,0,0,0,0,0,9,REED H
2021,Spring,AERO-303-500,91,34,7,4,3,139,3.482,0,0,0,3,0,142,REED H
2021,Spring,AERO-304-500,25,25,15,0,4,69,2.971,0,0,0,5,0,74,KINRA V
2021,Spring,AERO-306-500,5,15,13,4,1,38,2.5,1,0,0,8,0,47,WHITCOMB J
2021,Spring,AERO-306-501,60,5,2,0,1,68,3.808,0,0,0,1,0,69,STROUBOULIS T
2021,Spring,AERO-307-900,35,10,2,1,1,49,3.571,0,0,0,1,0,50,NARAGHI M
2021,Spring,AERO-310-502,31,9,4,0,2,46,3.456,0,0,0,2,0,48,BHATTACHARYA R
2021,Spring,AERO-321-200,3,3,0,0,0,6,3.5,0,0,0,0,0,6,VALASEK J
2021,Spring,AERO-321-500,18,52,43,21,5,139,2.41,0,0,0,8,0,147,VALASEK J
2021,Spring,AERO-351-501,2,21,23,2,5,53,2.203,2,0,0,28,0,83,CIZMAS P
2021,Spring,AERO-351-502,10,33,38,4,1,86,2.546,0,0,0,0,0,86,KARPETIS A
2021,Spring,AERO-402-500,51,0,0,0,0,51,4,0,0,0,0,0,51,WORSHAM B
2021,Spring,AERO-402-501,28,0,0,0,0,28,4,0,0,0,0,0,28,CHAMITOFF G
2021,Spring,AERO-402-503,10,4,0,0,0,14,3.714,0,0,0,0,0,14,HARTL D
2021,Spring,AERO-402-504,16,0,0,0,0,16,4,0,0,0,0,0,16,SELVA VALERO D
2021,Spring,AERO-402-505,39,0,0,0,0,39,4,0,0,0,0,0,39,DIAZ ARTILES A
2021,Spring,AERO-402-506,20,0,0,0,0,20,4,0,0,0,0,0,20,BHATTACHARYA R
2021,Spring,AERO-411-500,16,3,3,0,0,22,3.59,0,0,0,0,0,22,KINRA V
2021,Spring,AERO-413-500,9,15,20,6,1,51,2.49,1,0,0,12,0,64,BOYD J
2021,Spring,AERO-420-501,19,11,4,0,0,34,3.441,0,0,0,1,0,35,STRGANAC T
2021,Spring,AERO-422-501,30,55,12,4,3,104,3.009,0,0,0,1,0,105,DEMARS K
2021,Spring,AERO-423-500,27,23,11,4,4,69,2.942,0,0,0,4,0,73,MORTARI D
2021,Spring,AERO-430-500,37,7,5,0,1,50,3.58,0,0,0,8,0,58,STROUBOULIS T
